Company Name,Weighted Score
Micron Technology,78.54
Meta Platforms (Facebook),69.69
Robinhood,69.49
Sandisk,68.8
Alphabet (Google),65.82
NVIDIA,64.95
KIOXIA Holdings Corporation,63.62
Oracle,63.49
Tencent,63.21
Adobe,61.4
PDD Holdings (Pinduoduo),60.66
Microsoft,58.84
Intuit,58.7
Analog Devices,58.36
Marvell Technology,57.93
Broadcom,57.7
Uber,57.43
Netflix,57.21
NXP Semiconductors,57.07
Salesforce,56.34
Sea Limited,55.93
Foxconn (Hon Hai Precision Industry),54.14
Texas Instruments,54.04
Synopsys,53.74
Arista Networks,52.64
TE Connectivity,52.47
Applied Materials,50.47
Monolithic Power Systems,50.38
NetEase,49.79
Hewlett Packard Enterprise,49.64
PayPal,49.45
Autodesk,48.76
Amazon,48.61
Alibaba,48.39
Delta Electronics,48.28
IBM,48.21
Keysight,47.87
MercadoLibre,47.71
Cadence Design Systems,46.54
Garmin,46.09
ServiceNow,44.56
eBay,44.5
DoorDash,44.04
Tokyo Electron,42.8
Airbnb,41.79
Spotify,41.73
Cisco,41.7
ASE Group,38.86
Nokia,37.61
Automatic Data Processing,37.54
Equinix,35.5
Schneider Electric,34.93
Panasonic,32.27
Electronic Arts,29.39
