quote,author
"What I cannot create, I do not understand.",Richard Feynmann
"You don't have to be responsible for the world that you're in.",John von Neumann
"The more the universe seems comprehensible, the more it also seems pointless.",Steven Weinberg
"Science is not everything, but science is very beautiful.",Julius Robert Oppenheimer
"Pobody's nerfect.",Cracked and Mad magazine
"Paper is to write things down that we need to remember. Our brains are used to think.",Albert Einstein
"I need to shift my mindset away from being in crisis mode.",Elon Musk
"It is obviously not a failure if you learn something.",Jan Bielecki
"Culture is how employees' hearts and stomachs feel about Monday morning on Sunday night.",Bill Marklein
"You never know how strong you are until being strong is your only choice.",Bob Marley
"Extinction is the rule. Survival is the exception.",Carl Sagan
"A smooth sea never made a skilled sailor.",Franklin Delano Roosevelt
"I'm not upset that you lied to me, I'm upset that from now on I can't believe you.",Friedrich Nietzsche
"There's no time to worry about roses when forests are burning.",Juliusz Słowacki
"Give me six hours to chop down a tree and I will spend the first four sharpening the axe.",Abraham Lincoln
"Truth is everybody is going to hurt you: you just gotta find the ones worth suffering for.",Bob Marley
"In nature, nothing exists alone.",Rachel Carson
"Our job is improving the quality of life, not just delaying death.",Robin Williams
"And no matter how much they steal, we have to feed ourselves with the truth.",Kuba Knap
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche
"God give me patience, to reconcile with what I am not able to change. Give me strength to change what I can and give me wisdom to distinguish one from another.",Marcus Aurelius
"You can never be wise and be in love at the same time.",Bob Dylan
"To live is to suffer", to survive is to find some meaning in the suffering.
"Nothing in life is to be feared, it is only to be understood. Now is the time to understand more, so that we may fear less.",Marie Curie
"Politics is the entertainment division of the military industrial complex.",Frank Zappa
"I feel like we will die by regulations.",Redditor
"If you are not busy being born you are busy dying.",Bob Dylan
"Take a Leap of Certainty (in contrast to Take a Leap of Faith)",Ansys
"Nearly everything is really interesting if you go into it deeply enough.",Richard Feynmann
"Code is like humor. When you have to explain it, it's bad.",Cory House
"Reduce cognitive load by limiting the number of choices.",Rob Pike
"The cost of software maintenance increases with the square of the programmer's creativity.",Robert Bliss
"Know that your work speaks only to those on the same wavelength as you.",Jean Cocteau
"All we know about the new economic world tells us that nations which train engineers will prevail over those which train lawyers. No nation has ever sued its way to greatness.",Richard Lamm
"Well, we wouldn't be so careful not to hit our toes on the table leg if the pain came after a few years.",Janusz Korwin Mikke
"And those who were seen dancing were thought to be insane by those who could not hear the music.",Friedrich Nietzsche
"Life is what you do while you’re waiting to die so you might as well do a good job.",Donald Trump
"The most terrifying thing is to accept oneself completely.",Carl Jung
"The reason we struggle with insecurity is because we compare our behind-the-scenes with everyone else’s highlight reel.",Steve Futrick
"Knowledge isn't free. You have to pay attention.",Richard Feynmann
"In democratic countries the parties are as much stupid as electorate expect them to be.",Jan Bielecki
"You should never sacrifice what you could be for what you are.",Jordan Peterson
"The more physics you have the less engineering you need.",Ernest Rutherford
"Any idiot can build a bridge that stands, but it takes an engineer to build a bridge that barely stands.",?
"… to illustrate the difference between writing something to meet a deadline versus actually building something sustainable for the future.",Stacia Heimgartner Viscardi
"You don't need drugs to enjoy Pink Floyd. You need Pink Floyd to enjoy your drugs.",?
"If it can be destroyed by the truth, it deserves to be destroyed by the truth.",Carl Sagan
"People are part of the system. The design should match the user's experience, expectations, and mental models.",?
"Find what you love and let it kill you.",Charles Bukowski
"Either walk like the king, or walk like you don’t care who the king is.",?
"I can bear any pain as long as it has meaning.",Haruki Murakami
"People are the most amazing patterns that can emerge in our universe.",Jan Bielecki
"To be wealthy and honored in an unjust society is a disgrace.",Confucius
"As long as leaders put the wealth of one group of people above the wealth of another group, we have a war.",Jan Bielecki
"You can laugh at bad things without being bad person.",Ricky Gervais
"If you feel like you hate everyone. Eat something. If you feel like everyone hates you. Go to sleep. If you feel like you hate yourself. Have a shower. If you feel like everyone hates everyone. Go outside.",?
"If you get tired, learn to rest, not to quit.",Banksy
"Haters gonna hate, predetermined by the big bang.",Sabine Hossenfelder
"Everything we hear is an Opinion, not a Fact. Everything we see is a perspective, not the Truth.",Marcus Aurelius
"Counting money is a boring hobby.",?
"You need Power, only when you want to do something harmful, otherwise, love is enough to get everything done.",Charlie Chaplin
"I don't need love, I am the love.",Jan Bielecki
"The secret of life is to waste time in ways that you like.",Jerry Seinfeld
"Distance is the only answer to disrespect. Don't react. Don't argue. Don't get involved in drama. Simply remove your presence.",Rowan Atkinson
"Vision without Execution is Hallucination.",?
"Let's not lose our pessimism.",?
"Just follow the rules if you don't know by yourself what is right.",Jan Bielecki
"Beginnings are usually scary, endings are usually sad, but it's what's in the middle that counts. So when you find yourself at the beginning, just give hope a chance to float up. And it will.",Steven Rogers
"Only a fool in here would think he's got anything to prove",Bob Dylan
"Unspoken expectations are premeditated resentments.",Neil Strauss
"It’s dark because you are trying too hard. Lightly child, lightly. Learn to do everything lightly.",Aldous Huxley
"Men settle where there is peace. Women bring peace where they are treated well.",Gentleman Polska
"You've gotta dance like there's nobody watching. Love like you'll never be hurt. Sing like there's nobody listening. And live like it's heaven on earth.",William W. Purkey
"Everyone you meet is fighting a battle you know nothing about. Be kind. Always.",Brad Meltzer
"The best teachers are those who show you where to look, but don't tell you what to see.",Alexandra K.Trenfor
"The universe will never give you peace in something you were never meant to settle in.",Annaya Mahale
"The grass is not, in fact, always greener on the other side of the fence ... The grass is greenest where it is watered.",Robert Fulghum
"You have to pick one person and make it work.",Nadia
"Men don't pay prostitutes for sex. They pay them to leave.",Canty J
"You live most of your life inside your head. Make sure it’s a nice place to be.",?
