Title,Author,Category,Start,End,Published,Notes
Samolubny gen,Richard Dawkins,,???,,,stolen
Pejzaż moralny. W jaki sposób nauka może określać wartości,Sam Harris,,,,,bought
Krótkie odpowiedzi na wielkie pytania,Stephen Hawking,,,,,borrowed
Krótka historia czasu,Stephen Hawking,,???,,,stolen
"Pan raczy żartować, panie Feynman!",Richard Feynman,,,,,stolen
"A co ciebie obchodzi, co myślą inni?",Richard Feynman,,,,,stolen
Clean Code: A Handbook of Agile Software Craftsmanship,Robert Cecil Martin,IT > Programming > Software Design,March 2020,April 2020,2009,stolen
Zrozumieć programowanie,Gynvael Coldwind,IT > Programming,April 2020,May 2020,,borrowed
Sapiens. Od zwierząt do bogów,Yuval Noah Harari,,June 2020,August 2020,,stolen
"Kwantechizm 2.0, czyli klatka na ludzi",Andrzej Dragan,Science > Physics,August 2021,August 2021,,stolen
"Uczenie maszynowe z użyciem Scikit-Learn, Keras i TensorFlow",Geron Aurelien,IT > Machine Learning,October 2021,January 2022,,gifted
Czysty kod w Pythonie. Twórz wydajny i łatwy w utrzymaniu kod,Mariano Anaya,IT > Programming > Python,January 2022,February 2022,,stolen
Zagubione w matematyce. Fizyka w pułapce piękna,Sabine Hossenfelder,Philosophy&Physics,February 2022,May 2022,,gifted
Cisza w sieci,Michał Zalewski,IT > Networks,June 2022,November 2022,,borrowed
Rozmyślania,Marek Aureliusz,Philosophy > Stoicism,November 2022,December 2022,,borrowed
Dlaczego się udało. Filozofia i strategie twórcy Comarchu,Janusz Filipiak,Biography > Janusz Filipiak,May 2023,June 2023,,borrowed
"Antykruchość. Jak żyć w świecie, którego nie rozumiemy",Nassim Nicholas Taleb,Philosophy,June 2023,September 2023,,borrowed
"Cracking the Coding Interview, 6th Edition",Gayle Laakmann McDowell,IT > Interview,August 2023,August 2023,2015,stolen
Książe,Niccolo Machiavelli,Philosophy&Politics,October 2023,October 2023,,borrowed
A beautiful mind,Sylvia Nasar,Biography > John Nash,November 2023,January 2024,,borrowed
Od nędzy do pieniędzy,Ted Witkowicz,Biography > Ted Witkowicz,October 2023,June 2024,,borrowed
A Promised Land,Barack Obama,Biography > Barack Obama,November 2023,June 2024,,borrowed
Być jak kapibara,Michela Fabbri,Philosophy > Stoicism,December 2023,December 2023,,bought
Co się dzieje w świecie kwantów?,"Łukasz Lamża, Marcin Łobejko",Science > Physics > Quantum Physics,February 2024,March 2024,,bought
Śniadanie z cząstkami,"Sonia Fernandez-Vidal, Francesc Miralles",Science > Physics > Quantum Physics,March 2024,March 2024,,bought
Steve Jobs,Walter Isaacson,Biography > Steve Jobs,March 2024,June 2024,,borrowed
The Five Love Languages,Gary Chapman,Psychology > Relationships,June 2024,June 2024,,stolen
Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think ,"Hans Rosling, Anna Rosling Rönnlund, Ola Rosling",Non-fiction,June 2024,August 2024,,stolen
CPython Internals: Your Guide to the Python 3 Interpreter,Anthony Shaw,IT > Programming > Python,July 2024,July 2024,,borrowed
Elon Musk,Walter Isaacson,Biography > Elon Musk,August 2024,November 2024,,borrowed
What We Owe the Future,William MacAskill,Philosophy > Futurology,August 2024,September 2024,,stolen
Integracja emocjonalna,"Anna A. Terruwe, Conrad W. Baars",Psychology > Psychotherapy > Humanistic and existential,September 2024,October 2024,,stolen
The Child in You,Stefanie Stahl,Psychology > Psychotherapy > Inner child,September 2024,October 2024,2020,stolen
Man's Search for Meaning,Viktor Frankl,Psychology > Psychotherapy > Logotherapy,October 2024,October 2024,1946,stolen
Clean Architectures in Python,Leonardo Giordani,IT > Programming > Python,October 2024,November 2024,2021,stolen
Clean Architecture: A Craftsman's Guide to Software Structure and Design,Robert Cecil Martin,IT > Programming > Architecture,November 2024,December 2024,2017,stolen
Pułapki myślenia. O myśleniu szybkim i wolnym,Daniel Kahneman,Psychology > Cognitive psychology,November 2024,February 2025,2011,borrowed
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Comedy Science Fiction,November 2024,December 2024,1985,stolen
The clean coder,Robert Cecil Martin,IT > Programming,January 2025,January 2025,2011,stolen
Clean Agile: Back to Basics,Robert Cecil Martin,IT > Programming,January 2025,January 2025,2019,stolen
"Clean Craftsmanship: Disciplines, Standards, and Ethics",Robert Cecil Martin,IT > Programming,January 2025,February 2025,2021,stolen
Jak zdobyć przyjaciół i zjednać sobie ludzi,Dale Carnegie,Psychology > Self-help,February 2025,March 2025,1936,borrowed
"Functional Design: Principles, Patterns, and Practices",Robert Cecil Martin,IT > Programming,February 2025,March 2025,2023,stolen
"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win","Gene Kim, Kevin Behr, George Spafford",IT > DevOps,March 2025,June 2025,2013,stolen
Przebudzenie,Sam Harris,Philosophy > Spiritual philosophy,March 2025,April 2025,2014,bought
"We, Programmers: A Chronicle of Coders from Ada to AI",Robert Cecil Martin,IT > Programming,March 2025,May 2025,2024,borrowed
"Agile Software Development, Principles, Patterns, and Practices",Robert Cecil Martin,IT > Programming,April 2025,June 2025,2003,stolen
Principles of Planetary Climate,Raymond Pierrehumbert,Science > Climatology,February 2025,September 2025,2008,stolen
Broken money,Lyn Alden,Economy > Money,September 2025,October 2025,2023,stolen
"Tak, jak myśli człowiek",James Allen,Philosophy > Self-help,October 2025,October 2025,1902,stolen
The Cellular Automaton Interpretation of Quantum Mechanics,Gerard 't Hooft,Science > Physics > Quantum Machanics > Interpretation,March 2025,November 2025,2015,stolen
Survival of the Nicest: How Altruism Made Us Human and Why It Pays to Get Along,Stefan Klein,Psychology > Altruism,November 2025,November 2025,2014,stolen
How Big Things Get Done,"Dan Gardner, Bent Flyvbjerg",Self-help book,November 2025,December 2025,2023,borrowed
