Description,Type,URL
Free PDF editor,website,https://www.sejda.com/pdf-editor
IT Learning Roadmaps,website,https://roadmap.sh/
Coding Interview University,website,https://github.com/jwasham/coding-interview-university
Most popular repositories on github,website,https://github.com/EvanLi/Github-Ranking
VALCOE (value-adjusted levelized cost of electricity),website,https://en.wikipedia.org/wiki/Cost_of_electricity_by_source
How the light works?,video,The sugar water barber pole effect | Optics puzzles 1
Machine Learning From Zero to GPT in 40 Minute,video,Machine Learning From Zero to GPT in 40 Minute
A Survey of Techniques for Maximizing LLM Performance,video,A Survey of Techniques for Maximizing LLM Performance
Maths of Quantum Mechanics,video,https://www.youtube.com/watch?v=3nvbBEzfmE8&list=PL8ER5-vAoiHAWm1UcZsiauUGPlJChgNXC
Understanding Greenhouse Effect,video,https://www.youtube.com/watch?v=oqu5DjzOBF8
But what is quantum computing? (Grover's Algorithm),video,https://www.youtube.com/watch?v=RQWpF2Gb-gU
Where my explanation of Grover’s algorithm failed,video,https://www.youtube.com/watch?v=Dlsa9EBKDGI
But how do AI images/videos actually work?,video,https://www.youtube.com/watch?v=iv-5mZ_9CPY
Psychology Of People Who Have No Friends,video,https://www.youtube.com/watch?v=O2V_Fa-sfiA
Mr. Money Mustache,blog,https://www.mrmoneymustache.com/
Book list by Tim Ferriss,blog,https://tim.blog/2017/11/18/booklist/
