title,author(s),publish year,started,progress,finished
Testing for Competence Rather Than for 'Intelligence',David McClelland,1973,20260621,100%,20260621
Role of Physical Activity on Mental Health and Well-Being: A Review,"Aditya Mahindru, Pradeep Patil, Varun Agrawal",2023,20260726,100%,20260726
Attention Is All You Need,"Ashish Vaswani, Noam Shazeer, and others",2017,20260916,100%,20260916
How complex systems fail,Richard Cook,2002,20260917,100%,20260918
Wüster’s View of Terminology,Mitja Trojar,2017,20260920,100%,20260921
"The General Theory of Terminology: A Literature
Review and a Critical discussion",Kirsten Packeiser,2009,20260923,100%,20260925
How Is Meaning Grounded in Dictionary Definitions?,Alexandre Blondin Masse,2008,20260926,100%,20260926
Economically organized hierarchies in WordNet and the Oxford English Dictionary,Mark Andrew Changizi,2008,,,
A General Model for the Origin of Allometric Scaling Laws in Biology,"Geoffrey B. West, James H. Brown, and Brian J. Enquist",1997,,,
The Simple Mathematics of Large Language Models,Joseph Breeden,2025,,,
